radius (m)	length (m)	start_point	axis_direction	parent	extension	branch	branch_order	position_in_branch	mad	SurfCov	added	UnmodRadius (m)	Rama_podada
0.0256	0.0884	-0.5128	0.2947	-0.3283	-0.5212	-0.8254	-0.217	38	40	6	1	2	0.0079	0.4167	0	0.0256	0
0.0256	0.1002	-0.5671	0.2254	-0.3486	-0.4196	-0.8741	0.2446	39	41	6	1	3	0.0026	0.2917	0	0.0209	0
0.0256	0.0278	-0.6198	0.12	-0.3296	0.8637	-0.5026	-0.039	40	0	6	1	4	0.0125	0.175	0	0.01	0
0.0441	0.4057	-0.2861	0.3556	-0.4863	0.7121	0.5659	0.4156	15	43	12	1	1	0.0075	0.7	1	0.0441	1
0.0441	0.122	0.0028	0.5851	-0.3178	0.9657	0.1166	0.2322	42	44	12	1	2	0.0075	0.7	0	0.0441	1
0.0472	0.1116	0.1178	0.6108	-0.2928	0.9134	0.3035	0.2713	43	45	12	1	3	0.008	0.75	0	0.0472	1
0.0453	0.1204	0.2261	0.6922	-0.2802	0.962	-0.0284	0.2715	44	46	12	1	4	0.0205	0.5143	0	0.0552	1
0.0433	0.0718	0.3558	0.6589	-0.2281	0.7586	0.5635	0.327	45	47	12	1	5	0.0064	0.7667	0	0.0433	1
0.0454	0.0987	0.4072	0.7163	-0.2109	0.8673	0.3036	0.3946	46	48	12	1	6	0.0074	0.725	0	0.0454	1
0.0481	0.1785	0.5197	0.7274	-0.1875	0.6686	0.4903	0.559	47	49	12	1	7	0.0078	0.6515	0	0.0483	1
0.0476	0.1289	0.6398	0.852	-0.0827	0.9148	-0.0737	0.3972	48	50	12	1	8	0.0068	0.5455	0	0.049	1
0.0469	0.0797	0.7249	0.8768	-0.0124	0.762	0.6146	0.2037	49	51	12	1	9	0.0063	0.5152	0	0.0478	1
0.0384	0.2098	0.7881	0.9143	-0.0477	0.8863	0.4591	-0.0613	50	52	12	1	10	0.0071	0.5079	0	0.0384	1
0.039	0.0977	0.9757	1.0046	-0.0132	0.9109	0.4121	0.0211	51	53	12	1	11	0.005	0.5833	0	0.039	1
0.0414	0.1089	1.0748	1.0568	-0.0245	0.4706	0.4474	0.7605	52	54	12	1	12	0.0058	0.6	0	0.0414	1
0.0386	0.0828	1.1513	1.1172	0.0121	0.6136	0.6184	0.491	53	55	12	1	13	0.0052	0.7037	0	0.0386	1
0.038	0.0954	1.2002	1.1616	0.0598	0.792	0.3222	0.5186	54	56	12	1	14	0.0066	0.5313	0	0.038	1
0.0338	0.1574	1.2751	1.1945	0.1067	0.8482	0.4834	0.2164	55	57	12	1	15	0.006	0.5	0	0.0338	1
0.0338	0.0775	1.377	1.2493	0.1469	0.0835	0.1566	0.9841	56	58	12	1	16	0.0036	0.2917	0	0.033	1
0.0338	0.1095	1.4006	1.2472	0.2241	0.4668	0.6067	0.6435	57	59	12	1	17	0.0093	0.2	0	0.0239	1
0.0357	0.1123	1.4158	1.3651	0.283	0.7534	0.5907	0.2889	58	60	12	1	18	0.0037	0.2188	0	0.0363	1
0.0338	0.1254	1.5021	1.4368	0.3046	0.6984	0.5917	0.4026	59	0	12	1	19	0.0078	0.0909	0	0.01	1
0.0438	0.2906	-0.3636	0.1808	-0.2572	-0.8968	-0.2766	-0.3452	16	62	16	1	1	0.0089	0.2955	1	0.0512	0
0.0406	0.1064	-0.6158	0.1016	-0.3627	0.3442	-0.8641	0.3671	61	63	16	1	2	0.0111	0.1923	0	0.0512	0
0.0257	0.0676	-0.6045	0.0163	-0.3717	-0.6271	-0.745	0.2273	62	64	16	1	3	0.0028	0.25	0	0.0227	0
0.022	0.0573	-0.6572	-0.0494	-0.3691	0.7645	-0.6297	0.138	63	0	16	1	4	0.0063	0.2188	0	0.022	0
0.0341	0.3442	-0.3543	0.2043	-0.1788	-0.7043	-0.6084	-0.3658	16	66	19	1	1	0.0102	0.0707	0	0.0429	0
0.0219	0.1617	-0.5939	-0.0082	-0.2881	-0.4196	-0.9029	-0.0937	65	67	19	1	2	0.0021	0.175	0	0.0177	0
0.0226	0.1374	-0.681	-0.144	-0.2897	-0.4595	-0.888	0.0163	66	68	19	1	3	0.0023	0.175	0	0.0226	0
0.0218	0.1388	-0.7449	-0.2653	-0.2857	-0.4321	-0.8835	0.1809	67	69	19	1	4	0.0024	0.175	0	0.0208	0
0.0276	0.0962	-0.7958	-0.3943	-0.2626	-0.4797	-0.7955	0.3703	68	70	19	1	5	0.0028	0.3333	0	0.0276	0
0.0216	0.0823	-0.8487	-0.4656	-0.2224	-0.4542	-0.8382	0.3018	69	71	19	1	6	0.003	0.3333	0	0.02	0
0.0216	0.0946	-0.8879	-0.5365	-0.2033	-0.4567	-0.7895	0.4101	70	72	19	1	7	0.0027	0.2813	0	0.0215	0
0.0283	0.1006	-0.9374	-0.609	-0.161	-0.4024	-0.9045	-0.1413	71	73	19	1	8	0.0031	0.3438	0	0.0283	0
0.0223	0.1457	-0.9586	-0.6835	-0.1383	-0.5082	-0.6554	0.5588	72	74	19	1	9	0.0036	0.325	0	0.0223	0
0.024	0.0853	-1.037	-0.7717	-0.0496	-0.5315	-0.7333	0.424	73	75	19	1	10	0.0033	0.4167	0	0.024	0
0.0307	0.0831	-1.0988	-0.8167	-0.0187	-0.7429	-0.6448	0.1797	74	76	19	1	11	0.0031	0.25	0	0.0355	0
0.0351	0.0679	-1.1361	-0.9112	0.0056	-0.8045	-0.3766	0.4593	75	77	19	1	12	0.0107	0.2708	0	0.0414	0
0.0263	0.0877	-1.1641	-0.9603	0.004	0.1105	-0.7625	0.6375	76	78	19	1	13	0.0032	0.5	0	0.0263	0
0.026	0.1143	-1.1618	-1.0279	0.0531	-0.0194	-0.9933	0.1139	77	79	19	1	14	0.0037	0.4063	0	0.026	0
0.0281	0.0748	-1.1963	-1.1137	0.0843	-0.5412	-0.7996	0.2602	78	80	19	1	15	0.003	0.3333	0	0.0289	0
0.0245	0.0509	-1.2322	-1.1865	0.0918	-0.7042	-0.5986	0.3818	79	81	19	1	16	0.0026	0.3333	0	0.0245	0
0.0209	0.1084	-1.2466	-1.2269	0.1325	-0.6021	-0.7571	0.2536	80	82	19	1	17	0.0021	0.3438	0	0.0196	0
0.0209	0.0604	-1.3059	-1.314	0.1536	-0.3784	-0.8625	0.3359	81	83	19	1	18	0.0024	0.2917	0	0.0199	0
0.0261	0.1598	-1.3188	-1.3756	0.1938	-0.1538	-0.92	-0.3604	82	84	19	1	19	0.002	0.1875	0	0.0261	0
0.0284	0.1141	-1.3622	-1.5088	0.1443	-0.5523	-0.8244	0.1237	83	85	19	1	20	0.0041	0.2188	0	0.033	0
0.0209	0.0821	-1.4037	-1.5976	0.1868	-0.5969	-0.5733	0.5612	84	86	19	1	21	0.0026	0.4167	0	0.0209	0
0.0259	0.1073	-1.4457	-1.6608	0.2097	-0.5892	-0.7352	0.3351	85	87	19	1	22	0.002	0.25	0	0.0262	0
0.0209	0.104	-1.5165	-1.7256	0.2578	-0.7134	-0.6354	0.2955	86	88	19	1	23	0.0076	0.2292	0	0.0206	0
0.0209	0.1143	-1.5977	-1.7837	0.2906	-0.5949	-0.6485	0.475	87	89	19	1	24	0.002	0.1875	0	0.0166	0
0.0293	0.1047	-1.6749	-1.8456	0.3469	-0.3996	-0.4431	0.8025	88	90	19	1	25	0.0037	0.1667	0	0.0384	0
0.0209	0.1497	-1.6955	-1.9009	0.4352	-0.3063	-0.309	0.9004	89	91	19	1	26	0.0065	0.2396	0	0.0178	0
0.0209	0.0723	-1.6991	-1.9231	0.569	0.1135	-0.1627	0.9801	90	92	19	1	27	0.0032	0.175	0	0.01	0
0.0209	0.1019	-1.7542	-1.9518	0.5909	-0.5877	-0.1214	0.7999	91	0	19	1	28	0.0036	0.25	0	0.0181	0
0.0297	0.2805	-0.1593	0.1909	-0.0509	0.9406	-0.3175	0.1201	17	94	41	1	1	0.0091	0.4583	1	0.0297	1
0.0297	0.074	0.1045	0.1018	-0.0172	0.6536	-0.7456	-0.1303	93	95	41	1	2	0.0091	0.4583	0	0.0297	1
0.0383	0.2006	0.1749	0.0387	-0.0441	-0.4402	-0.8849	-0.1524	94	96	41	1	3	0.0251	0.1154	0	0.0702	1
0.0297	0.0654	0.1004	-0.11	-0.0585	0.3349	-0.5787	0.7436	95	97	41	1	4	0.0197	0.0875	0	0.01	1
0.0297	0.0957	0.1195	-0.1586	0.0124	-0.3735	-0.8155	-0.442	96	0	41	1	5	0.0066	0.1	0	0.01	1
0.0614	0.2095	-0.2324	0.088	0.0678	-0.6418	-0.6616	0.3877	18	99	44	1	1	0.012	0.3152	1	0.0685	0
0.0611	0.3154	-0.3709	-0.0515	0.142	0.635	-0.7207	-0.2781	98	100	44	1	2	0.0181	0.2688	0	0.0685	0
0.0602	0.2868	-0.2267	-0.2814	0.0922	0.2683	-0.9033	0.3348	99	101	44	1	3	0.0403	0.4474	0	0.1427	0
0.0599	0.1405	-0.2139	-0.511	0.1902	-0.3892	-0.8661	0.3136	100	102	44	1	4	0.0242	0.4671	0	0.0717	0
0.0592	0.1129	-0.2402	-0.6481	0.2458	-0.5622	-0.681	0.4692	101	103	44	1	5	0.0079	0.5538	0	0.0602	0
0.0555	0.1451	-0.2427	-0.7426	0.2869	-0.1037	-0.7789	0.6185	102	104	44	1	6	0.009	0.8333	0	0.0555	1
0.06	0.172	-0.2461	-0.8571	0.3702	0.2652	-0.7166	0.6452	103	105	44	1	7	0.0091	0.5952	0	0.0622	1
0.0502	0.1181	-0.212	-0.9992	0.4686	0.5103	-0.6699	0.5393	104	106	44	1	8	0.0072	0.5	0	0.0504	1
0.044	0.1318	-0.163	-1.0603	0.5585	0.3163	-0.7134	0.6254	105	107	44	1	9	0.0072	0.44	0	0.044	1
0.0344	0.0831	-0.1188	-1.1626	0.6294	0.1427	-0.7864	0.601	106	108	44	1	10	0.0039	0.6667	0	0.0323	1
0.0371	0.0997	-0.1178	-1.2432	0.6646	0.083	-0.7232	0.6856	107	109	44	1	11	0.0057	0.5313	0	0.0371	1
0.0369	0.108	-0.0948	-1.3059	0.7459	0.0787	-0.8445	0.5297	108	110	44	1	12	0.0058	0.5938	0	0.0369	1
0.0378	0.0881	-0.1013	-1.3915	0.8073	-0.1094	-0.7715	0.6267	109	111	44	1	13	0.0056	0.6667	0	0.0378	1
