order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.0891	30.4632	1.1769	3.657	0	0	6	6.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0749	14.6272	0.7398	3.061	2.414	120.3	-111.4	101
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.053	1.2492	0.0943	0.566	2.65	76.8	126	106.3
0	0	0	0	0	0	0	0	0	0
1	1	0.0798	6.0793	0.3493	1.635	2.015	20	165.4	60.9
0	0	0	0	0	0	0	0	0	0
1	1	0.0713	2.7114	0.1626	0.811	2.361	87.9	-70.5	74
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0515	1.6692	0.1371	0.933	2.233	46.2	-135	77.1
1	1	0.0795	4.8695	0.2608	1.114	2.464	32.9	37.8	38.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.1184	20.5136	0.7563	2.242	2.403	92.6	116.8	99.3
1	1	0.0513	5.375	0.3807	2.2	2.476	56.1	11.5	91.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0626	2.853	0.1824	0.928	2.223	70.9	-100.8	87.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0757	9.3929	0.5264	2.414	3.444	65.6	-62.1	52.3
1	1	0.1129	21.5047	0.9151	3.362	2.724	83.1	42.3	117.7
0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
