order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.1039	36.5733	1.3149	3.826	0	0	177.1	14
1	1	0.0812	5.9952	0.2831	1.069	2.217	114.7	-37.3	90
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.1007	5.0376	0.2403	1.037	2.13	101.3	11.2	78.5
1	1	0.0623	1.4423	0.0926	0.473	2.283	77.5	117.1	110.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.02	0.1285	0.0257	0.409	2.458	104.6	-2.9	106.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
1	1	0.0369	0.4394	0.0513	0.495	2.769	81	-113.1	111.1
0	0	0	0	0	0	0	0	0	0
1	1	0.035	0.7321	0.0837	0.762	2.189	83.7	124.3	47
0	0	0	0	0	0	0	0	0	0
1	1	0.0781	19.3513	0.8294	2.922	2.532	112	39.4	76.7
0	0	0	0	0	0	0	0	0	0
1	1	0.0651	3.1578	0.1992	1.005	2.671	46.8	39.2	65.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0583	1.4978	0.1058	0.599	2.711	105.5	52.4	81.3
0	0	0	0	0	0	0	0	0	0
1	1	0.076	7.0007	0.4168	2.042	2.893	87.6	2.2	92.5
0	0	0	0	0	0	0	0	0	0
1	1	0.0597	2.0931	0.1414	0.76	2.98	83.5	-26.3	92.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
