order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.1141	34.0774	1.1427	3.099	0	0	138.2	18.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.02	0.213	0.0426	0.678	1.926	8.3	43.7	64
1	1	0.1279	3.9236	0.1227	0.306	1.96	86.7	-56	61.1
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0832	5.2561	0.2526	0.966	2.317	120.8	22.5	101.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0505	3.5042	0.2502	1.466	2.426	85.1	84	117.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.1143	8.2749	0.3288	1.193	2.514	83.7	122.5	99.8
1	1	0.0528	1.5304	0.116	0.699	2.664	115.9	132	141.5
1	1	0.0842	6.0479	0.3095	1.27	2.552	52	101.4	134.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
1	1	0.0183	0.1865	0.0407	0.706	2.662	58.5	139.2	155.4
0	0	0	0	0	0	0	0	0	0
1	1	0.0621	1.1503	0.0794	0.446	2.574	64.9	-156.4	77.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	751	0.0734	7.6939	0.4789	2.421	2.709	105.2	177.9	145.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	751	0.0272	0.391	0.0593	0.722	2.735	25.9	-128.4	88.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	751	0.0712	1.446	0.0907	0.5	2.743	97.3	-8.9	101.6
0	0	0	0	0	0	0	0	0	0
2	751	0.078	6.0129	0.3224	1.447	2.822	96.8	66.5	97.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	751	0.0887	7.749	0.448	2.402	2.794	119.6	17.6	58.6
2	751	0.0575	2.5071	0.1856	1.123	2.837	118.4	65.5	82.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
