order	parent	diameter (m)	volume (L)	area (m^2)	length (m)	height (m)	angle (deg)	azimuth (deg)	zenith (deg)
0	0	0.1118	26.0318	0.9075	2.54	0	0	-116.3	4.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	471	0.1079	14.7926	0.6164	2.106	1.77	98.7	-69.2	77.1
2	471	0.1049	14.8065	0.6351	2.284	2.193	123.4	-17.7	98.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	471	0.1012	4.5537	0.1975	0.782	2.014	78	33	20
2	471	0.02	0.4494	0.0899	1.43	1.334	37.1	142.2	54.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	471	0.0739	3.7156	0.2143	1.034	1.908	121.3	-71.2	40.6
2	471	0.02	0.2382	0.0476	0.758	2.06	123.1	-32.5	56
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	471	0.0513	2.6626	0.2103	1.325	1.799	63.8	-61.1	48.3
2	471	0.0737	1.3096	0.0711	0.307	2.029	90.1	100.9	102.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	471	0.0875	5.1507	0.2865	1.506	2.121	57.2	101.5	120.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	471	0.0896	6.257	0.2916	1.094	1.843	118	36.9	60.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
2	471	0.0827	2.0968	0.1014	0.39	2.399	87.5	-65	21
2	471	0.0341	0.6093	0.0715	0.667	2.106	102.1	-59.7	63.2
0	0	0	0	0	0	0	0	0	0
2	471	0.055	2.0665	0.1541	0.919	1.833	99.7	-56.9	45.6
2	471	0.072	4.4359	0.2576	1.204	2.067	130.9	27.4	71.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	474	0.0708	4.0812	0.2308	1.039	2.674	50.4	-72.8	113.8
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	474	0.0697	3.9136	0.2405	1.267	1.831	84.9	-81.1	17.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	474	0	0	0	0	0	0	0	0
3	474	0.0991	4.7777	0.1958	0.64	2.499	51.8	-88.4	33.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	474	0.1043	16.0647	0.6158	1.879	2.065	20.6	4.3	49.9
3	474	0.085	2.9116	0.1592	0.827	2.116	82.3	79.7	60.9
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	474	0.0644	1.5713	0.1065	0.616	2.426	97.9	-43.4	60
0	0	0	0	0	0	0	0	0	0
3	474	0.0712	2.6964	0.1505	0.678	2.069	36.8	93.7	27.2
0	0	0	0	0	0	0	0	0	0
3	474	0.084	1.3793	0.0656	0.249	2.883	69.8	-62.1	75.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	474	0.0715	2.2698	0.1324	0.615	2.332	58.9	87.8	38.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	478	0.0972	5.8286	0.2398	0.785	3.306	121.2	-143.3	162.7
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	478	0.1073	9.5793	0.4113	1.631	2.802	110.2	80.1	112.6
4	478	0.0862	8.1402	0.3776	1.394	2.8	34.7	89.1	115
0	0	0	0	0	0	0	0	0	0
4	478	0.0565	2.725	0.2071	1.368	3.242	87.9	-42.1	150.7
4	478	0.0738	1.4282	0.0743	0.331	2.627	89.8	54.8	75.5
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	478	0.0797	7.5899	0.3673	1.421	2.744	108.6	42.8	104.9
0	0	0	0	0	0	0	0	0	0
4	478	0.0546	0.7585	0.0556	0.325	3.018	113	135.8	121.3
0	0	0	0	0	0	0	0	0	0
4	478	0.0805	4.4952	0.2308	0.966	3.25	81.5	-142.6	159
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	478	0.02	0.1663	0.0333	0.529	2.811	114.9	79.8	93.7
0	0	0	0	0	0	0	0	0	0
4	478	0.0173	0.0487	0.0112	0.206	3.305	158	-100.9	130.4
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
4	478	0.0736	3.8814	0.231	1.154	2.847	20.6	-35	66.6
4	478	0.0486	1.85	0.1608	1.121	3.203	68.7	3.7	109.3
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
5	488	0.0771	4.0371	0.2353	1.281	3.344	69.5	150.6	103.7
5	488	0.0526	1.0862	0.0832	0.507	3.309	85.7	159.5	95.2
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
5	488	0.056	0.5896	0.05	0.397	3.846	80.2	100.8	114.6
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0
3	40	0.05	0.7893	0.075	0.609	2.445	30.5	149.4	105.1
